Gender,Annual.Salary,Department,Department.Name,Assignment,Position.Title,Date.Hired
M,67066.02,DOT,Department of Transportation,Fulltime,Bus Operator,02/07/1999
F,74981.23,POL,Department of Police,Fulltime,Administrative Specialist III,11/24/2008
M,71804,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/09/2006
M,61207.7914,DGS,Department of General Services,Fulltime,Office Services Coordinator,12/16/1996
M,91908.7708,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,09/29/1997
F,42246.7808,DOT,Department of Transportation,Fulltime,Bus Operator,09/28/2015
F,87960.6486,DPS,Department of Permitting Services,Fulltime,Administrative Specialist II,01/03/1988
F,96697.4,POL,Department of Police,Fulltime,Public Safety Emergency Communications Supervisor,08/05/1996
F,76364.1382,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,08/03/1992
M,133307.5669,DTS,Department of Technology Services,Fulltime,Manager III,07/16/2012
M,36376.1398,DLC,Department of Liquor Control,Fulltime,Supply Technician III,12/28/2015
F,72924.9,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),11/28/2005
F,32226.849,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,11/09/2012
M,36333.42,DLC,Department of Liquor Control,Fulltime,Supply Technician III,11/02/2015
M,48479.8748,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
M,43725.8458,DOT,Department of Transportation,Fulltime,Bus Operator,05/27/2014
M,30963.0804,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,12/01/2014
F,56430.017,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,05/14/2007
F,101129.2598,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,09/17/2007
F,31910.8995,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,07/28/2013
M,82351.9323,DOT,Department of Transportation,Fulltime,Highway Inspector II,04/14/1996
F,108151.82,DLC,Department of Liquor Control,Fulltime,Information Technology Specialist III,07/18/1999
M,84737.07,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,10/19/1988
F,97626.078,HHS,Department of Health and Human Services,Fulltime,Social Worker II,05/18/1988
F,76364.1382,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,03/14/1994
M,64004.5296,DOT,Department of Transportation,Fulltime,Traffic Field Service Technician II,11/26/1979
M,48658.5198,DOT,Department of Transportation,Fulltime,Equipment Operator I,10/30/2006
M,112533.0723,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,03/13/1989
F,98631.348,POL,Department of Police,Fulltime,Administrative Specialist III,04/10/1989
M,66728.97,POL,Department of Police,Fulltime,Police Officer III,07/16/2012
M,111396.3746,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,04/18/1988
F,19359.72,LIB,Department of Public Libraries,Parttime,Library Aide,07/08/2005
M,95740,FIN,Department of Finance,Fulltime,Accountant/Auditor III,04/19/1999
F,71681.7276,COR,Correction and Rehabilitation,Fulltime,Correctional Health Nurse II,11/02/2015
F,78174.855,DEP,Department of Environmental Protection,Fulltime,Administrative Specialist II,01/31/2011
F,93527.3097,HHS,Department of Health and Human Services,Fulltime,Management and Budget Specialist III,03/26/2012
F,60794.07,HHS,Department of Health and Human Services,Fulltime,Social Worker II,10/17/2016
M,39839.6394,DOT,Department of Transportation,Fulltime,Bus Operator,03/06/2017
M,29592.9326,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,07/26/2016
F,69468.7999,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,03/21/2005
M,62020,POL,Department of Police,Fulltime,Police Officer III,08/12/2013
F,63116.682,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,06/12/2006
M,79094.4433,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,04/07/2014
F,53941.7043,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,10/30/2006
M,48480.698,DOT,Department of Transportation,Fulltime,Bus Operator,02/11/2008
F,73115.644,HHS,Department of Health and Human Services,Fulltime,Social Worker III,06/23/2008
F,232950.66,HHS,Department of Health and Human Services,Fulltime,Director Department of Health and Human Services,02/13/2007
F,54421.1533,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,07/28/2014
M,60935.9296,HRC,Office of Human Rights,Fulltime,Office Services Coordinator,10/14/2002
F,40146.08,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/01/2011
M,93462.7716,DGS,Department of General Services,Fulltime,Construction Representative III,12/11/2006
M,50177.519,DOT,Department of Transportation,Fulltime,Bus Operator,03/12/2007
M,49470.1,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
M,31137.183,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,11/16/2015
F,52868.7126,BOA,Board of Appeals Department,Fulltime,Office Services Coordinator,11/13/2007
F,52490.6076,POL,Department of Police,Fulltime,Registered Veterinary Technician,12/01/2014
F,46533.046,REC,Department of Recreation,Fulltime,Recreation Coordinator,06/07/2012
M,65405.2,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),02/05/2007
F,42802.26,COR,Correction and Rehabilitation,Fulltime,Office Services Coordinator,04/23/2012
M,69627,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),06/01/2004
M,52225.581,DOT,Department of Transportation,Fulltime,Bus Operator,03/26/2007
F,43008.6195,DLC,Department of Liquor Control,Fulltime,Liquor Store Clerk II,05/20/2012
F,46266.682,COR,Correction and Rehabilitation,Fulltime,Office Services Coordinator,05/21/2012
M,71563.1598,POL,Department of Police,Fulltime,Information Technology Technician III,11/30/2015
M,50801.99,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,02/22/2016
M,97654.8,DGS,Department of General Services,Fulltime,Construction Representative III,08/22/2005
M,75476.94,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),11/29/2004
F,21588.3,HHS,Department of Health and Human Services,Parttime,Office Services Coordinator,04/03/2017
M,111675.753,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,05/15/2006
M,66489.08,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,05/08/2011
M,42246.7808,DOT,Department of Transportation,Fulltime,Bus Operator,05/20/2013
F,68204.07,DOT,Department of Transportation,Fulltime,Fiscal Assistant,11/05/2001
M,67694.0986,DGS,Department of General Services,Fulltime,Mechanic Technician II,03/03/2008
M,41046.9012,DOT,Department of Transportation,Fulltime,Bus Operator,07/10/2017
F,93529.2106,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,01/23/2008
M,84762,LIB,Department of Public Libraries,Fulltime,Library Assistant Supervisor,09/24/1990
F,66079.33,DLC,Department of Liquor Control,Fulltime,Liquor Store Assistant Manager,10/08/2002
M,59816.3742,DOT,Department of Transportation,Fulltime,Equipment Operator I,10/29/2000
F,26118.0996,POL,Department of Police,Parttime,Crossing Guard,10/02/2000
F,103381.1,LIB,Department of Public Libraries,Fulltime,Librarian II,05/01/1989
M,80241.1662,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,03/19/2001
F,75869.101,HHS,Department of Health and Human Services,Fulltime,Social Worker III,08/20/2007
M,66740,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),08/06/2007
M,184314,REC,Department of Recreation,Fulltime,Director Department of Recreation,01/30/2007
F,36611.676,PRO,Office of Procurement,Parttime,Program Specialist II,01/09/2017
F,93140.28,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist III,03/28/1999
M,72705.2436,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,03/03/2003
F,30963.051,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,08/25/2013
M,101177.49,DTS,Department of Technology Services,Fulltime,Information Technology Specialist III,02/08/2016
F,43725.4146,DOT,Department of Transportation,Fulltime,Bus Operator,09/29/2014
M,121058.5278,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,02/26/1990
M,105225.8418,SHF,Sheriff's Office,Fulltime,Deputy Sheriff Sergeant,08/19/1996
M,91514.6142,HCA,Department of Housing and Community Affairs,Fulltime,Housing Code Inspector III,09/08/1997
M,61021.9794,HHS,Department of Health and Human Services,Fulltime,Therapist II,02/08/2016
M,56435,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
M,121372,DGS,Department of General Services,Fulltime,Senior Architect,04/17/2006
M,49470.1,DOT,Department of Transportation,Fulltime,Bus Operator,11/26/2007
M,77347,POL,Department of Police,Fulltime,Police Officer III,07/17/2006
F,101832.822,POL,Department of Police,Fulltime,Master Police Officer,02/06/1995
F,40547.2378,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/06/2012
F,105241,POL,Department of Police,Fulltime,Program Manager II,12/01/1998
M,53732.01,DLC,Department of Liquor Control,Fulltime,Truck Driver Helper/Warehouse Worker,08/15/1988
M,57575.43,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),06/02/2014
M,97825.01,COR,Correction and Rehabilitation,Fulltime,Correctional Specialist V,08/26/1996
M,66359.7,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/17/2008
F,54487.45,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,03/30/2009
M,100370,HHS,Department of Health and Human Services,Fulltime,Environmental Health Specialist III,05/03/2004
F,46747.1834,LIB,Department of Public Libraries,Parttime,Library Assistant I,02/23/1994
M,69762,POL,Department of Police,Fulltime,Police Officer III,07/18/2011
F,96697.02,HHS,Department of Health and Human Services,Fulltime,Supervisory Therapist,05/10/2010
F,72116.8662,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,07/01/2013
M,43108.96,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2015
M,46840.2368,DOT,Department of Transportation,Fulltime,Bus Operator,06/23/2003
M,123799.44,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,08/10/1992
M,81830.2,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,01/30/2006
M,85474.19,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,07/18/2005
M,86612.8002,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),06/01/1997
F,25805,LIB,Department of Public Libraries,Parttime,Library Associate,09/05/2017
M,118944.56,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,02/23/2004
F,88823.0079,LIB,Department of Public Libraries,Fulltime,Library Associate II,11/30/1992
M,113558.34,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,09/11/2000
M,68370.6,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/17/2008
M,75098.2167,DLC,Department of Liquor Control,Fulltime,Senior Supply Technician,06/22/1993
F,83999.4982,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,07/30/2013
M,41234.6583,DOT,Department of Transportation,Fulltime,Bus Operator,01/04/2016
F,79697.1868,DEP,Department of Environmental Protection,Fulltime,Environmental Health Specialist III,03/19/2007
F,76691.5458,HHS,Department of Health and Human Services,Fulltime,Social Worker III,07/07/1996
M,16294.347,DPS,Department of Permitting Services,Parttime,Office Clerk,08/22/2016
M,68076.36,POL,Department of Police,Fulltime,Police Officer III,02/09/2015
M,58630.46,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
M,45242.68,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/11/2017
F,70250.1921,HCA,Department of Housing and Community Affairs,Fulltime,Office Services Coordinator,06/27/1988
M,52672.06,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
M,83686.58,POL,Department of Police,Fulltime,Police Officer III,07/19/2004
M,65093.49,POL,Department of Police,Fulltime,Traffic Enforcement Field Service Technician II,04/16/2001
M,78172.38,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,07/19/2004
F,39839.58,POL,Department of Police,Fulltime,Senior Public Safety Emergency Communications Specialist,08/21/2017
M,104188.59,DOT,Department of Transportation,Fulltime,Senior Planning Specialist,06/11/2007
F,69516.8658,LIB,Department of Public Libraries,Fulltime,Librarian II,01/14/2013
F,93218.8838,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,09/18/2000
F,80846.9145,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,06/20/1994
M,60521.22,POL,Department of Police,Fulltime,Police Officer III,08/12/2013
F,33719.595,REC,Department of Recreation,Parttime,Recreation Coordinator,09/26/2013
F,47870,HHS,Department of Health and Human Services,Parttime,Planning Specialist III,07/30/2012
F,63157.6758,HHS,Department of Health and Human Services,Fulltime,Therapist II,08/24/2015
F,71180.3863,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,01/23/2017
M,67694.0986,DGS,Department of General Services,Fulltime,Mechanic Technician II,02/19/2008
F,50525.664,HHS,Department of Health and Human Services,Fulltime,Office Services Coordinator,08/13/2012
M,78454.88,POL,Department of Police,Fulltime,Police Officer III,07/19/2004
M,65297.5504,DOT,Department of Transportation,Fulltime,Equipment Operator I,10/31/1988
M,96875.4402,HRC,Office of Human Rights,Fulltime,Investigator III,11/20/2000
F,68400.7653,POL,Department of Police,Fulltime,Senior Public Safety Emergency Communications Specialist,09/15/1997
F,20354.4,HHS,Department of Health and Human Services,Parttime,Administrative Aide,03/15/2010
F,95049.888,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,08/06/2012
M,31910.8995,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,05/20/2012
M,56831.1547,DOT,Department of Transportation,Fulltime,Bus Operator,10/15/2000
F,99366.3,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,04/19/2004
F,43608.3615,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,12/11/2017
F,53274,POL,Department of Police,Fulltime,Police Officer III,07/11/2016
F,98631.348,REC,Department of Recreation,Fulltime,Recreation Supervisor,09/18/1986
F,47112.2586,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,01/08/2007
M,65751,DOT,Department of Transportation,Fulltime,Bus Operator,04/19/1998
M,46320.24,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),06/12/2017
M,116953.2,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,07/24/2017
F,79166.8892,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist III,11/13/2000
M,103162.59,SHF,Sheriff's Office,Fulltime,Deputy Sheriff Sergeant,03/04/1991
F,53244.4488,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,08/10/2015
M,41046.9012,DOT,Department of Transportation,Fulltime,Bus Operator,07/10/2017
M,45822.21,DLC,Department of Liquor Control,Fulltime,Supply Technician III,09/25/2005
M,103256.9358,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,04/22/2013
M,64755.6364,DLC,Department of Liquor Control,Fulltime,Liquor Store Assistant Manager,09/24/2002
M,41234.3316,DOT,Department of Transportation,Fulltime,Bus Operator,09/19/2016
M,67046.2947,DOT,Department of Transportation,Fulltime,Bus Operator,11/27/1995
M,104188.59,DEP,Department of Environmental Protection,Fulltime,Program Manager II,02/07/2000
F,57355.8579,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,04/16/2007
M,92554.7898,DEP,Department of Environmental Protection,Fulltime,Construction Representative III,01/14/2013
M,41046.9012,DOT,Department of Transportation,Fulltime,Transit Bus Operator,04/17/2017
M,119237.6889,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,02/29/1988
M,99836.1,POL,Department of Police,Fulltime,Master Police Officer,09/23/1985
M,49168.56,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/12/2016
F,71765.6005,HHS,Department of Health and Human Services,Fulltime,Social Worker II,02/19/2008
M,76744.8,HCA,Department of Housing and Community Affairs,Fulltime,Investigator III,02/21/2017
M,48159.426,COR,Correction and Rehabilitation,Fulltime,Resident Supervisor II,06/13/2014
M,156044.7306,HCA,Department of Housing and Community Affairs,Fulltime,Manager II,11/04/1996
M,69983.76,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/19/2007
F,41046.9012,DOT,Department of Transportation,Fulltime,Bus Operator,05/30/2017
M,40242,POL,Department of Police,Fulltime,Police Aide,08/07/2017
M,65367.7812,POL,Department of Police,Fulltime,Security Officer IV (Lieutenant),01/03/2012
M,162793.7952,POL,Department of Police,Fulltime,Police Captain,08/07/1989
M,105743.7216,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,06/15/1992
F,110013.6844,HHS,Department of Health and Human Services,Fulltime,Supervisory Social Worker,02/01/1999
F,81696.3966,OHR,Office of Human Resources,Fulltime,Human Resources Specialist III,04/07/2014
M,45063.9477,DOT,Department of Transportation,Fulltime,Bus Operator,12/22/2014
F,75000,NDA,Non-Departmental Account,Fulltime,Senior Retirement Analyst,11/27/2017
M,38322.0324,CEC,Community Engagement Cluster,Fulltime,Public Service Worker II,02/14/2010
F,68074.8,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),07/23/2007
M,48082.769,DGS,Department of General Services,Fulltime,Building Services Worker II,07/05/1988
F,106272.3618,HHS,Department of Health and Human Services,Fulltime,Public Information Officer II,08/27/1990
M,83100,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,12/01/2003
M,56076.8348,DOT,Department of Transportation,Fulltime,Equipment Operator II,11/06/2001
M,35977.21,DLC,Department of Liquor Control,Fulltime,Supply Technician III,08/07/2017
M,100360.26,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,09/04/2001
F,54866.5344,DOT,Department of Transportation,Fulltime,Bus Operator,07/10/2006
M,42677.8704,DOT,Department of Transportation,Fulltime,Bus Operator,06/22/2015
M,88823.28,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,02/08/1999
M,43540.0496,DLC,Department of Liquor Control,Fulltime,Truck Driver/Warehouse Worker,01/11/2016
F,63076.0086,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,08/09/2004
M,88268.94,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/20/1993
F,82858,POL,Department of Police,Fulltime,Police Officer III,01/26/2004
F,140226.5315,HHS,Department of Health and Human Services,Fulltime,Manager II,07/02/2012
M,36293.793,DLC,Department of Liquor Control,Fulltime,Truck Driver Helper/Warehouse Worker,08/10/2015
M,38555.9361,DLC,Department of Liquor Control,Fulltime,Supply Technician III,08/11/2014
F,80360.1764,FIN,Department of Finance,Fulltime,Program Specialist II,05/07/2001
F,52741.26,POL,Department of Police,Fulltime,Police Officer III,07/11/2016
M,43970.4252,DOT,Department of Transportation,Fulltime,Bus Operator,04/27/2015
M,104688.9508,COR,Correction and Rehabilitation,Fulltime,Correctional Supervisor (Sergeant),12/08/1997
M,32404.48,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,12/08/2010
F,83100,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,06/05/2000
M,90950.31,POL,Department of Police,Fulltime,Police Officer III,01/17/2006
M,89429.83,DTS,Department of Technology Services,Fulltime,Telecommunications Specialist,04/21/1991
M,39981.47,DOT,Department of Transportation,Fulltime,Equipment Operator I,04/18/2016
M,44076.78,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),10/16/2017
M,102309.8892,CAT,County Attorney's Office,Fulltime,Assistant County Attorney III,04/04/2016
M,56143.05,CCL,County Council,Fulltime,Legislative Senior Aide III,01/26/2015
M,93182.7316,POL,Department of Police,Fulltime,Police Officer III,09/12/1988
M,71883.72,POL,Department of Police,Fulltime,Police Officer III,02/24/2014
F,46533.046,POL,Department of Police,Fulltime,Program Specialist I,09/06/2016
M,78454.88,POL,Department of Police,Fulltime,Police Officer III,07/18/2005
M,76734.8428,DGS,Department of General Services,Fulltime,Mechanic Technician II,12/29/2003
M,56919.429,DOT,Department of Transportation,Fulltime,Equipment Operator II,04/28/2002
M,126560.2478,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,02/26/1990
M,76734.8428,DGS,Department of General Services,Fulltime,Mechanic Technician II,06/26/2000
M,62020,POL,Department of Police,Fulltime,Police Officer III,08/12/2013
F,90031.62,POL,Department of Police,Fulltime,Police Officer III,07/19/2004
F,132758.2382,HHS,Department of Health and Human Services,Fulltime,Manager III,05/14/2001
M,24625.34,LIB,Department of Public Libraries,Parttime,Library Assistant I,07/21/2005
F,40720.8424,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,02/19/2008
M,57775.03,DLC,Department of Liquor Control,Fulltime,Supply Technician III,07/19/1998
M,96697.4,REC,Department of Recreation,Fulltime,Recreation Supervisor,04/03/1994
M,93808.26,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,01/12/1998
M,49173.1856,DLC,Department of Liquor Control,Fulltime,Liquor Store Assistant Manager,11/19/2012
M,105743.7216,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,09/20/1993
M,106289.2185,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,01/23/1995
F,54653.228,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,03/11/2013
F,54959.9766,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,08/11/2014
F,18878.58,POL,Department of Police,Parttime,Crossing Guard,08/26/2013
F,102377.4,FRS,Fire and Rescue Services,Fulltime,Community Health Nurse II,01/08/2007
M,59922,POL,Department of Police,Fulltime,Police Officer III,10/06/2014
M,96965.8452,NDA,Non-Departmental Account,Fulltime,Senior Investment Officer,12/13/2016
M,66699.84,SHF,Sheriff's Office,Fulltime,Information Technology Specialist I,07/10/2017
M,46815.25,POL,Department of Police,Fulltime,Office Services Coordinator,12/16/2013
M,84042.84,POL,Department of Police,Fulltime,Police Officer III,01/16/2007
F,107345.82,DOT,Department of Transportation,Fulltime,Senior Planning Specialist,01/24/2005
F,81565.7626,HHS,Department of Health and Human Services,Parttime,Community Health Nurse II,07/30/2012
M,97994.1,DPS,Department of Permitting Services,Fulltime,Program Manager II,11/04/2013
F,89299.98,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,01/14/2002
F,57895,POL,Department of Police,Fulltime,Police Officer III,06/01/2015
M,60735.01,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,06/25/2007
M,49354,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),02/08/2016
M,61611.7293,DOT,Department of Transportation,Fulltime,Bus Operator,10/14/2001
F,53737.7004,HHS,Department of Health and Human Services,Fulltime,Social Worker II,02/21/2017
M,72532.1718,HHS,Department of Health and Human Services,Fulltime,Client Assistance Specialist,06/19/2000
M,69762,POL,Department of Police,Fulltime,Police Officer III,07/12/2010
M,43194.4029,DLC,Department of Liquor Control,Fulltime,Supply Technician III,09/01/2011
M,45717.4377,DOT,Department of Transportation,Fulltime,Bus Operator,04/16/2012
M,50459.502,DOT,Department of Transportation,Fulltime,Bus Operator,03/03/2008
M,75412.8144,DOT,Department of Transportation,Fulltime,Transit Operations Supervisor,06/16/2008
M,37458.88,SHF,Sheriff's Office,Fulltime,Principal Administrative Aide,09/05/2017
M,47102.8248,DOT,Department of Transportation,Fulltime,Bus Operator,07/01/2013
M,25629.5196,LIB,Department of Public Libraries,Parttime,Library Desk Assistant,11/27/2000
M,46641.6485,DOT,Department of Transportation,Fulltime,Bus Operator,07/01/2013
F,102965.0094,HHS,Department of Health and Human Services,Fulltime,Program Manager II,09/05/2006
M,118261.6281,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,11/17/1997
F,82047.6025,OAG,Office of Agriculture,Fulltime,Administrative Specialist II,01/08/2007
M,96035.2642,POL,Department of Police,Fulltime,Police Officer III,01/14/2002
M,101704.2,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,08/16/1999
